"stil","ime_nemscina","opis_materiala_nemscina","opis_artikla_nemscina"
"25.1135","Damen Piqué Polo","180g/m², 100% gekämmte ringgesponnene Baumwolle, charcoal mel.: 60% Baumwolle, 40% Polyester, dark grey: 85% Baumwolle, 15% Viskose, heather oxblood/heather denim: 57% Baumwolle, 38% Polyester, 5% Elasthan","Länger geschnitten, Strickkragen mit 3er Knopfleiste, Strickbündchen am Ärmel, 1 Ersatzknopf"
"25.1139","Leichte Damen Tunika","115g/m², 100% ringgesponnene Baumwolle","Weiter Halsausschnitt, Nackenband verstärkt, Doppelnähte an Ärmel und Bündchen, sehr weiches dünnes und fließendes Material, TearAway Label, neutrales Größenlabel"
"25.1150","Herren V-Ausschnitt T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, ash: 98% Baumwolle, 2% Viskose, grey melange: 85% Baumwolle, 15% Viskose","Rundstrickware, V-Ausschnitt in Rippstrick mit Elasthan, Nackenband"
"25.1155","Herren V-Ausschnitt T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Tiefer V-Ausschnitt in Rippstrick mit Elasthan, Nackenband"
"25.1159","Damen Raglan Sport Shirt","140g/m², 100% Polyester Mesh","Atmungsaktiv, Raglanärmel, länger geschnittener Rücken, geeignet für Sublimation"
"25.1166","Kinder Raglan Sport Shirt","140g/m², 100% Polyester Mesh","Atmungsaktiv, schmal eingefasster Kragen, Raglanärmel, länger geschnittener Rücken, geeignet für Sublimation"
"25.1168","Unisex Sweater","260g/m², 50% ringgesponnene Baumwolle, 50% Polyester","Nackenband, Set-In Ärmel, Bündchen an Ärmel und Saum mit Elasthan"
"25.1170","Leichte Damen Steppjacke","180g/m², Außen: 100% Polyester, Wattierung: 100% Polyester, Futter: 100% Polyamid","Taillierter Schnitt, hoher Stehkragen, ohne Ärmelbündchen und Bündchen, 2 Seitentaschen in Farbe passend zum Futter"
"25.1171","Gefütterter Unisex Windbreaker","Außen: 100% Polyamid, Netzfutter: 100% Polyester","Kapuze und Reißverschlüsse in Kontrastfarbe, elastischer Armabschluss, Seitentaschen mit Reißverschluss, Veredelungszugang im Futter"
"25.1178","Unisex Sweater","280g/m², 80% ringgesponnene Baumwolle, 20% Polyester","Klassischer Schnitt, Nackenband, Set-In Ärmel, Rippstrickbündchen an Hals, Ärmeln und Saum mit Elasthan"
"25.1181","Damen T-Shirt","150g/m², 65% Polyester, 35% halbgekämmte ringgesponnene Baumwolle","Weiter Rundhalsausschnitt mit schmaler Einfassung, geeignet für Sublimation, TearAway Label, neutrales Größenlabel"
"25.1182","Herren T-Shirt","150g/m², 65% Polyester, 35% halbgekämmte ringgesponnene Baumwolle","Rundhalsausschnitt mit schmaler Einfassung, geeignet für Sublimation, TearAway Label, neutrales Größenlabel"
"25.1183","Kinder T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, Nackenband, Rippstrickbündchen am Ausschnitt mit Elasthan, TearAway Label, neutrales Größenlabel"
"25.1187","Damen Camouflage T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle","Taillierter Schnitt, Camouflage Muster, TearAway Label, neutrales Größenlabel"
"25.1188","Herren Camouflage T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle","Camouflage Muster, TearAway Label, neutrales Größenlabel"
"25.1190","Herren Raglan T-Shirt 2-farbig","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange Farbkombinationen: 85% Baumwolle, 15% Viskose","Rundstrickware, schmal eingefasster Rundhalsausschnitt mit Elasthan, Nackenband, Raglanärmel in Kontrastfarbe"
"25.1192","Baby Bio Ripp Body","220g/m², 100% gekämmte ringgesponnene Bio-Baumwolle, 1x1 Feinripp","überlappender angenehmer Halsausschnitt, Rippstrickbündchen an Hals, Ärmeln und Bein, Druckknöpfe im Schritt, dehnbares Material, TearAway Label"
"25.1193","Leichte Herren Steppjacke","180g/m², Außen: 100% Polyester, Wattierung: 100% Polyester, Futter: 100% Polyamid","Taillierter Schnitt, hoher Stehkragen, ohne Ärmelbündchen und Bündchen, 2 Seitentaschen passend zum Futter"
"25.1194","Damen 2-Lagen Softshell Jacke","280g/m², 96% Polyester, 4% Elasthan","Taillierter Schnitt, 2-lagiges Softshellmaterial, Stehkragen, verstellbarer Bund mit elastischer Kordel, Qualitäts-Reißverschluss, 2 Seitentaschen mit Reißverschluss"
"25.1195","Herren 2-Lagen Softshell Jacke","280g/m², 96% Polyester, 4% Elasthan","2-lagiges Softshellmaterial, Stehkragen, verstellbarer Bund mit elastischer Kordel, Qualitäts-Reißverschluss, 2 Seitentaschen mit Reißverschluss"
"25.1198","Damen Piqué Sport Polo","180g/m², 100% Polyester","Taillierter Schnitt, 3er Knopfleiste mit Paspel in Kontrastfarbe, Nackenband, Seitenschlitze in Kontrastfarbe, geeignet für Sublimation, schweißabsorbierend, schnelltrocknend"
"25.1199","Herren Piqué Sport Polo","180g/m², 100% Polyester","3er Knopfleiste mit Paspel in Kontrastfarbe, Nackenband, Seitenschlitze in Kontrastfarbe, geeignet für Sublimation, schweißabsorbierend, schnelltrocknend"
"25.1208","Microfaser Gästehandtuch","190g/m², 90% Polyester Microfaser, 10% Polyamid","Elastisches Faltband Ton-in-Ton, Overlock Finish, Maße: 30x50cm"
"25.1209","Microfaser Handtuch","190g/m², 90% Polyester Microfaser, 10% Polyamid","Elastisches Faltband Ton-in-Ton, Overlock Finish, Maße: 50x100cm"
"25.1210","Microfaser Duschtuch","190g/m², 90% Polyester Microfaser, 10% Polyamid","Elastisches Faltband Ton-in-Ton, Overlock Finish, Maße: 70x120cm"
"25.1223","Tanktop","120g/m², 100% Polyester","Legerer Schnitt, extra tiefer Armausschnitt, geeignet für Sublimation"
"25.1230","Tailliertes Herren T-Shirt","220g/m², 100% halbgekämmte ringgesponnene Baumwolle","1x1 Rippstrickeinfassung"
"25.1240","Damen Trägershirt","220g/m², 100% Baumwolle","Taillierter Schnitt, 1x1 Rippstrickeinfassung, 1x1 Rippstrick"
"25.1310","Damen Piqué Polo","210g/m², 100% gekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, Kragen und Ärmelbündchen in 1x1 Rippstrick, 4er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband, gerader Bund mit Seitenschlitzen"
"25.1312","NULL","150g/m², 100% Baumwolle","Fischbeinstäbchen in den Kragenspitzen, Hemdkragen mit Kragensteg, 3 Knöpfe in Perlmuttoptik, Brusttasche links, Seitennähte"
"25.1313","Polo Sweat","280g/m², 100% Baumwolle","Kragen und Knopfleiste aus weißem Baumwoll-Twill, Nackenband, Rippstrickbündchen mit Elasthan, weiße Gummiknöpfe"
"25.1317","Damen Piqué Polo langarm","210g/m², 100% gekämmte ringgesponnene Baumwolle, melange grey: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, Rippstrickkragen, 4er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband, Seitenschlitze"
"25.1325","Damen Ripp Polo","220g/m², 100% halbgekämmte ringgesponnene Baumwolle","Taillierter Schnitt, Rippstrick Kragen ohne Knopf"
"25.1335","Polycotton Piqué Polo","170g/m², 65% Polyester, 35% Baumwolle","Knopfleiste verstärkt, 4er Knopfleiste Ton-in-Ton, Nackenband, Ärmel mit Feinripprand, gerader Bund mit Seitenschlitzen"
"25.1338","Damen Piqué Polo","170g/m², 100% gekämmte ringgesponnene Baumwolle, melange grey: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, Rippstrickkragen, 4er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Nackenband, gerader Bund mit Seitenschlitzen"
"25.1342","Piqué Polo","170g/m², 100% gekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose, ash: 98% Baumwolle, 2% Viskose","Rippstrickkragen, 3er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Nackenband, gerader Bund mit Seitenschlitzen"
"25.1345","Kinder Piqué Polo","170g/m², 100% gekämmte ringgesponnene Baumwolle","1x1 Rippstrick Kragen, 3er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband verstärkt, gerader Bund mit Seitenschlitzen"
"25.1353","Piqué Polo langarm","210g/m², 100% gekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose, charcoal melange: 60% Baumwolle, 40% Polyester","3er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Nackenband, gerader Bund mit Seitenschlitzen, 1 Ersatzknopf"
"25.1355","NULL","190g/m², 100% Baumwolle","Lageneffekt: T-Shirt unter Polokragen, Kragenleiste Ton-in-Ton, doppelte Ärmelbündchen in Kontrastfarbe, sichtbare Nähte, Seitennähte, Jersey-Seitenschlitze, länger geschnittener Rücken"
"25.1362","Piqué Polo","210g/m², 100% gekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose, ash: 98% Baumwolle, 2% Viskose","1x1 Rippstrick Kragen, 3er Knopfleiste verstärkt mit Knöpfen Ton-in-Ton, Nackenband, gerader Bund mit Seitenschlitzen"
"25.1369","Piqué Polo 2-farbig","190g/m², 100% gekämmte ringgesponnene Baumwolle, melange grey/pink: 85% Baumwolle, 15% Viskose","Kragen und Armabschluss in Kontrastfarbe, 2 Knöpfe Ton-in-Ton, Seitenschlitze"
"25.1376","Damen Jersey Polo","170g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey","3er Knopfleiste mit Knöpfen Ton-in-Ton, Seitenschlitze"
"25.1377","Herren Jersey Polo","170g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey","Rippstrickkragen, 3er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband verstärkt"
"25.1380","T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey, ash: 98% Baumwolle, 2% Viskose, grey melange: 85% Baumwolle, 15% Viskose","Rundstrickware, Rippstrickausschnitt mit Elasthan, Nackenband"
"25.1385","Damen T-Shirt mit Flügelärmeln","150g/m², 100% halbgekämmte ringgesponnene Baumwolle","Taillierter Schnitt, weiter Halsausschnitt"
"25.1386","Damen T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey, grey melange: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, schmaler Jersey-Ausschnitt, Nackenband, weicher Griff"
"25.1388","Damen V-Ausschnitt T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange Farbkombinationen: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, V-Ausschnitt in Rippstrick mit Elasthan, Nackenband, weicher Griff"
"25.1389","Tailliertes Herren T-Shirt","150g/m², 100% halbgekämmte Baumwolle","Taillierter Schnitt, 1x1 Rippstrick Kragen mit Elasthan, Nackenband"
"25.1397","Herren Slub Polo","180g/m², 100% halbgekämmte Baumwolle, Flammgarn","3er Knopfleiste Ton-in-Ton, gerader Saum, Seitenschlitze"
"25.1398","Herren T-Shirt gestreift","150g/m², 100% gekämmte ringgesponnene Baumwolle, ash/lemon: 98% Baumwolle, 2% Viskose","Taillierter Schnitt, weiter Rundhalsausschnitt, Nackenband aus Chambray innen, schmaler Ärmel, Streifen-Design, TearAway Label, neutrales Größenlabel"
"25.1399","Damen Slub Polo","180g/m², 100% halbgekämmte Baumwolle, Flammgarn","3er Knopfleiste Ton-in-Ton, gerader Saum, Seitenschlitze"
"25.1400","Kinder T-Shirt gestreift","150g/m², 100% gekämmte ringgesponnene Baumwolle, Single Jersey, ash/lemon: 98% Baumwolle, 2% Viskose","Weiter Rundhalsausschnitt, Nackenband aus Chambray innen, Streifen-Design, TearAway Label, neutrales Größenlabel"
"25.1401","Baby Body gestreift","180g/m², 100% gekämmte ringgesponnene Baumwolle, ash lemon: 97% Baumwolle, 3% Polyester","überlappender Rundhalsausschnitt, Druckknöpfe im Schritt, Blenden in Kontrastfarbe an Hals, Arm und Bein, 1x1 Rippstrick, TearAway Label, neutrales Größenlabel"
"25.1402","Herren T-Shirt langarm gestreift","150g/m², 100% gekämmte ringgesponnene Baumwolle","Taillierter Schnitt, weiter Rundhalsausschnitt, Nackenband aus Chambray innen, schmale Ärmel, Streifen-Design, TearAway Label, neutrales Größenlabel"
"25.1403","Damen T-Shirt langarm gestreift","150g/m², 100% gekämmte ringgesponnene Baumwolle","Taillierter Schnitt, femininer Rundhalsausschnitt, Nackenband aus Chambray innen, Streifen-Design, TearAway Label, neutrales Größenlabel"
"25.1406","Leichtes Damen T-Shirt","115g/m², 100% gekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, weiter Rundhalsausschnitt, Nackenband, überschnittener Ärmel mit Aufschlag, TearAway Label, neutrales Größenlabel"
"25.1407","Schweres Damen Piqué Polo","200g/m², 100% ringgesponnene Baumwolle","Taillierter Schnitt, 1x1 Rippstrickkragen und Ärmelbündchen, 3er Knopfleiste mit Stoffband in Kontrastfarbe innen, verstärkte Seitenschlitze mit Kontrastband, 2-farbige Streifen an Kragenunterseite"
"25.1414","Herren Interlock Sport Shirt","180g/m², 92% Polyester, 8% Elasthan, Interlock","Taillierter Schnitt, Flatlock-Nähte, atmungsaktive Einsätze in Kontrastfarbe aus Netzstoff seitlich, schnelltrocknendes Dry Fit Gewebe, reflektierende Akzente an der Raglan-Schulternaht (ohne Schutzfunktion)"
"25.1420","T-Shirt langarm","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Rundstrickware, Rundhalsausschnitt aus Elasthan-Ripp, Nackenband"
"25.1424","Herren Hose","240g/m², 98% Baumwolle, 2% Elasthan","Schmaler Schnitt, fester Bund mit Gürtelschlaufen, Reißverschluss, 2 seitliche Einschubtaschen mit Paspel, Gesäß-Einschubtaschen mit Blende, angenehm durch Elasthan, TearAway Label, französische Größen: bitte Umrechnung entsprechend Maßtabelle"
"25.1425","Damen T-Shirt langarm","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, Rippstrickausschnitt mit Elasthan, Nackenband"
"25.1436","Leichter Herren Bodywarmer","100% Polyamid, Wattierung: 180g/m², 100% Polyester, Futter: 100% Polyamid","Hoher Stehkragen, ohne Bund am Saum, 2 Seitentaschen passend zum Futter"
"25.1437","Leichter Damen Bodywarmer","100% Polyamid, Wattierung: 180g/m², 100% Polyester, Futter: 100% Polyamid","Hoher Stehkragen, ohne Bund am Saum, 2 Seitentaschen passend zum Futter"
"25.1464","Herren Piqué Polo","240g/m², 100% gekämmte Baumwolle","Kragen und Ärmelbündchen in 1x1 Rippstrick, 2er Knopfleiste Ton-in-Ton, Nackenband, gerader Bund mit Seitenschlitzen"
"25.1465","Herren Tanktop","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Rundstrickware, Rippstrickbündchen an Hals- und Armausschnitt"
"25.1475","Damen Tanktop","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey","Rippstrickbündchen an Hals- und Armausschnitt"
"25.1480","Herren Lagen T-Shirt","190g/m², 100% halbgekämmte Baumwolle","2-farbiges 2-in-1 T-Shirt; eingesetzte lange Ärmel"
"25.1500","Schweres T-Shirt","190g/m², 100% halbgekämmte ringgesponnene Baumwolle, ash: 98% Baumwolle, 2% Viskose, grey melange: 85% Baumwolle, 15% Viskose","Rundstrickware, Rippstrickausschnitt mit Elasthan, Nackenband"
"25.1502","Schweres Damen T-Shirt","190g/m², 100% halbgekämmte ringgesponnene Baumwolle, ash: 98% Baumwolle, 2% Viskose, grey melange: 85% Baumwolle, 15% Viskose","Rippstrickausschnitt mit Elasthan, Nackenband verstärkt"
"25.1570","Damen Lagen T-Shirt","170g/m², 100% halbgekämmte ringgesponnene Baumwolle","Taillierter Schnitt, Nackenband, mit Einsätzen in Kontrastfarbe an Ausschnitt und Ärmel, offene gerollte Säume"
"25.1616","Bomber Jacke Fashion","60g/m², Außen: 100% Polyamid, wasserabweisend, leichte Wattierung: 100% Polyester, Futter: 100% Polyester","Stehkragen aus Rippstrick, Strickbündchen an Ärmel und Saum, silberfarbener Metallreißverschluss, 2 Seitentaschen mit Klappe und Druckknopf, Ärmeltasche mit Reißverschluss, Nähte versiegelt"
"25.1618","Unisex Windbreaker","100% 210T Polyester","Wasserabweisend, atmungsaktiv, Kapuze im Kragen, Kapuze und Saum mit Schnürzug, elastische Bündchen, 2 Taschen mit Reißverschluss"
"25.1652","Strickfleece Jacke","340g/m², 100% Polyester","Stehkragen, schwarze elastische Einfassung an Kragen, Saum, Taschen und Reißverschluss, 2 Seitentaschen, Melange-Optik, Außen: glatte Strickoptik, Innen: weicher Fleece"
"25.1670","Herren Lagen T-Shirt","170g/m², 100% halbgekämmte ringgesponnene Baumwolle","Taillierter Schnitt, Nackenband, mit Einsätzen in Kontrastfarbe an Ausschnitt und Ärmel, offene gerollte Säume"
"25.1689","Herren Badeshorts","105g/m², 100% Polyester Microfaser, Innenhose: 100% Polyester Netz","Elastischer Bund mit Kordel Ton-in-Ton, Gesäßtasche mit Klappe und Klettverschluss, 2 Seitentaschen, kleine Seitenschlitze, geeignet für Sublimation"
"25.1704","Herren Sublimations T-Shirt","160g/m², 100% Polyester, Single Jersey","Taillierter Schnitt, Rippstrickausschnitt mit Elasthan, überschnittene Ärmel ohne Nähte, ideal für All-Over Print, weicher Griff wie Baumwolle, TearAway Label, neutrales Größenlabel"
"25.1705","Damen Sublimations T-Shirt","160g/m², 100% Polyester, Single Jersey","Taillierter Schnitt, Rippstrickausschnitt mit Elasthan, überschnittene Ärmel ohne Nähte, ideal für All-Over Print, weicher Griff wie Baumwolle, TearAway Label, neutrales Größenlabel"
"25.1708","Herren Piqué Stretch Polo","220g/m², 95% gekämmte ringgesponnene Baumwolle, 5% Elasthan, charcoal melange: 56% Baumwolle, 39% Polyester, 5% Elasthan, grey melange: 82% Baumwolle, 13% Viskose, 5% Elasthan","Taillierter Schnitt, Kragen und Ärmelbündchen in 1x1 Rippstrick, Nackenband, 3 Knöpfe Ton-in-Ton, Seitenschlitze, TearAway Label, neutrales Größenlabel"
"25.1709","Damen Piqué Stretch Polo","220g/m², 95% gekämmte ringgesponnene Baumwolle, 5% Elasthan, charcoal melange: 56% Baumwolle, 39% Polyester, 5% Elasthan, grey melange: 82% Baumwolle, 13% Viskose, 5% Elasthan","Taillierter Schnitt, Kragen und Ärmelbündchen in 1x1 Rippstrick, tiefe 5er Knopfleiste mit Knöpfen Ton-in-Ton, Nackenband, TearAway Label, neutrales Größenlabel"
"25.1721","Sicherheits T-Shirt","150g/m², 100% Polyester, Netz, EN20471 Klasse II zertifiziert","Rundhalsausschnitt, 2 horizontale und 2 vertikale breite Reflexstreifen für optimale Sichtbarkeit (ohne Schutzfunktion)"
"25.1722","Sicherheits Polo","150g/m², 100% Polyester, Netz, EN20471 Klasse II zertifiziert","Strickkragen, Knopfleiste mit 3 Knöpfen, Seitenschlitze, 2 horizontale und 2 vertikale breite Reflexstreifen für optimale Sichtbarkeit (ohne Schutzfunktion)"
"25.1770","Schweres Kinder T-Shirt","190g/m², 100% halbgekämmte ringgesponnene Baumwolle","Seitennähte (2-6 Jahre) oder Rundstrickware (ab 8 Jahren), Rippstrickausschnitt mit Elasthan, Nackenband"
"25.1775","Sublimations T-Shirt","160g/m², 100% Polyester","Rippstrickbündchen am Ausschnitt, geeignet für Sublimation, TearAway Label, neutrales Größenlabel"
"25.1825","Damen T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey, ash: 98% Baumwolle, 2% Viskose, grey melange: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, Rippstrickausschnitt, Nackenband, feminine kurze Ärmel"
"25.1830","Damen Ripp T-Shirt","220g/m², 100% halbgekämmte ringgesponnene Baumwolle","Taillierter Schnitt, 1x1 Rippstrickeinfassung"
"25.1835","Damen V-Ausschnitt Ripp T-Shirt","220g/m², 100% gekämmte ringgesponnene Baumwolle","Taillierter Schnitt, 1x1 Rippstrickeinfassung"
"25.1836","Damen V-Ausschnitt T-Shirt langarm","220g/m², 100% Baumwolle","Taillierter Schnitt, mit Seitennähten, 1x1 Rippstrick"
"25.1870","Damen Trägershirt ""Malibu""","170g/m², 95% gekämmte Baumwolle, 5% Elasthan","Taillierter Schnitt, Träger mit sehr feinem Saumband, Seitennähte"
"25.1932","Damen Stretch T-Shirt","170g/m², 95% gekämmte ringgesponnene Baumwolle, 5% Elasthan","Taillierter Schnitt, Nackenband"
"25.1934","Herren Stretch T-Shirt","170g/m², 95% gekämmte ringgesponnene Baumwolle, 5% Elasthan","Taillierter Schnitt, Nackenband"
"25.1939","Herren Raglan Sport Shirt","140g/m², 100% Polyester Mesh","Atmungsaktiv, Raglanärmel, länger geschnittener Rücken, geeignet für Sublimation"
"25.1970","Kinder T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, ash: 98% Baumwolle, 2% Viskose","Seitennähte (2-6 Jahre) oder Rundstrickware (ab 8 Jahren), Rippstrickausschnitt mit Elasthan, Nackenband verstärkt"
"25.1975","Baby T-Shirt","160g/m², 100% Baumwolle","1x1 Rippstrick Kragen, Nackenband, Öffnung an der linken Schulter mit 2 Druckknöpfen Ton-in-Ton"
"25.1976","NULL","140g/m², 100% Polyester","Raglanärmel, länger geschnittener rückwärtiger Bund, mit Seitennähten für sportliche Aktivitäten, ideal für Sublimation, Doppelfontur-Maschenware"
"25.1981","Mädchen T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle","Taillierter Schnitt, schmaler Ausschnitt in Rippstrick mit Elasthan, Nackenband"
"25.2000","Unisex Windbreaker","100% 210T Polyamid","Wasserabweisend, Kapuze im Kragen mit Kordel, Kordelzug am Bund, elastische Ärmelbündchen, Lüftungsösen"
"25.2071","Herren Sport Shirt langarm","140g/m², 100% Polyester Mesh","Atmungsaktiv, schmal eingefasster Rippstrickausschnitt, Raglanärmel, länger geschnittener Rücken, schnelltrocknend, TearAway Label"
"25.2072","Damen Sport Shirt langarm","140g/m², 100% Polyester Mesh","Atmungsaktiv, schmal eingefasster Rippstrickausschnitt, Raglanärmel, länger geschnittener Rücken, schnelltrocknend, TearAway Label"
"25.2073","Herren Sport Shirt ärmelllos","140g/m², 100% Polyester Mesh","Atmungsaktiv, schmal eingefasster Rippstrickausschnitt, schnelltrocknend, TearAway Label"
"25.2074","Herren T-Shirt langarm","190g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Rundstrickware, Rippstrickausschnitt mit Elasthan, Nackenband, TearAway Label"
"25.2075","Damen T-Shirt langarm","190g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, Rippstrickausschnitt mit Elasthan, Nackenband, TearAway Label"
"25.2079","Damen T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% Baumwolle, 15% Viskose","Taillierter Schnitt, weiter Rundhalsausschnitt, Nackenband, Strickbündchen am Ausschnitt, TearAway Label, neutrales Größenlabel"
"25.2080","Damen Slim Fit T-Shirt","190g/m², 100% halbgekämmte ringgesponnene Baumwolle, grey melange: 85% ringgesponnene Baumwolle, 15% Viskose, charcoal mel./heather oxblood/heather denim/heather khaki: 60% ringgesponnene Baumwolle, 40% Polyester, Single Jersey","Taillierter Schnitt, weiter Rippstrickausschnitt, Nackenband, TearAway Label, neutrales Größenlabel"
"25.2083","Damen Piqué Polo langarm","180g/m², 100% gekämmte Baumwolle, charcoal melange: 60% Baumwolle, 40% Polyester, grey melange: 85% Baumwolle, 15% Viskose, ash: 98% Baumwolle, 2% Viskose","Taillierter Schnitt, Kragen in 1x1 Rippstrick, 3er Knopfleiste, Nackenband, TearAway Label"
"25.2084","Herren Jogginghose","260g/m², 50% Baumwolle, 50% Polyester","Elastischer Bund mit Kordelzug, Rippstrickbündchen an Bund und Beinabschluss, 1 aufgesetzte Tasche hinten, schräge Eingrifftaschen vorne, innen angeraut, TearAway Label"
"25.2085","Damen Jogginghose","260g/m², 50% Baumwolle, 50% Polyester","Elastischer Bund mit Kordelzug, Rippstrickbündchen an Bund und Beinabschluss, 1 aufgesetzte Tasche hinten, innen angeraut, TearAway Label"
"25.2087","Herren Piqué Polo langarm","180g/m², 100% gekämmte Baumwolle, charcoal melange: 60% Baumwolle, 40% Polyester, grey melange: 85% Baumwolle, 15% Viskose, ash: 98% Baumwolle, 2% Viskose","1x1 Rippstrickkragen und Rippbündchen, 2er Knopfleiste, Nackenband, TearAway Label"
"25.2093","Herren Fleece Jacke","220g/m², 100% Polyester","Stehkragen, 2 Seitentaschen mit Reißverschluss, TearAway Label"
"25.2094","Damen Fleece Jacke","220g/m², 100% Polyester","Stehkragen, 2 Seitentaschen mit Reißverschluss, TearAway Label"
"25.2109","Parka","100% Polyester, PU Beschichtung, Wattierung: 170g/m², 100% Polyester, Futter: 100% Polyester","Wind- und wasserdicht, 1.500mm Wassersäule, Stehkragen innen mit weichem Fleece, Windschutzblende mit Klettverschluss und Druckknöpfen, verstaubare Kapuze mit Kordelzug, verstellbare Ärmelbündchen mit Klettverschluss, 2 Außentaschen mit Reißverschluss und Klappe, 1 Innentasche, Veredelungszugang, TearAway Label"
"25.2117","Damen Sport Shirt ärmellos","140g/m², 100% Polyester Mesh","Atmungsaktiv, schmal eingefasster Rippstrickausschnitt, Ringerrücken, schnelltrocknend, TearAway Label"
"25.2300","Kinder Windbreaker","100% 210T Polyamid","Wasserabweisend, Kapuze im Kragen, verstellbare Kordel am Bund und in der Taille, elastische Ärmelbündchen, Lüftungsösen"
"25.2757","Unisex Jacke","100% Nylon, PU Beschichtung, Futter: 100% Polyester, Mesh","Wasserabweisend, Rippstricksaum, 2 Seitentaschen, Innentasche, Streifen in Kontrastfarbe in Rippstrick an Krageninnenseite und Bündchen, Veredelungszugang, winddicht, TearAway Label"
"25.2758","Damen Slim Fit T-Shirt","150g/m², 100% halbgekämmte ringgesponnene Baumwolle, Single Jersey","Taillierter Schnitt, weiter Rippstrickausschnitt, Nackenband verstärkt, TearAway Label, neutrales Größenlabel"
"25.2855","Herren T-Shirt","155g/m², 100% gekämmte ringgesponnene Baumwolle, enzymgewaschen","Schmaler Schnitt, 1x1 Rippstrickausschnitt, Rundhalsausschnitt, Nackenband, TearAway Label, neutrales Größenlabel"
"25.2856","Damen T-Shirt","155g/m², 100% gekämmte ringgesponnene Baumwolle, enzymgewaschen","Schmaler Schnitt, 1x1 Rippstrickausschnitt, Rundhalsausschnitt, Nackenband, TearAway Label, neutrales Größenlabel"
"25.2887","Herren 2-Lagen Softshell Gilet","280g/m², 96% Polyester, 4% Elasthan, Fleece innen: 100% Polyester","2-lagiges Softshellmaterial, wasserabweisend, 2 Seitentaschen mit Reißverschluss, länger geschnittener Rücken, TearAway Label"
"25.2888","Damen 2-Lagen Softshell Gilet","280g/m², 96% Polyester, 4% Elasthan, Fleece innen: 100% Polyester","2-lagiges Softshellmaterial, wasserabweisend, 2 Seitentaschen mit Reißverschluss, länger geschnittener Rücken, TearAway Label"
"25.2917","Herren Satin Stretch Hose","228g/m², 98% Baumwolle, 2% Elasthan","Enganliegende Passform, Gürtelschlaufen, 2 Taschen mit Paspel hinten, schräge Eingrifftaschen vorne, TearAway Label, französische Größen: bitte Umrechnung entsprechend Maßtabelle"
