"stil","ime_anglescina","opis_materiala_anglescina","opis_artikla_anglescina"
"18.9629","Ladies' Crossover Hooded Jacket","100% 300T polyester, softshell: 95% polyester, 5% spandex","Tailored fit, adjustable hood, elastic cuffs, CMZ zips, 2 large outside pockets, breast pocket outside, inner pocket, padded lining, decoration access at the back, suitable for embroidery"
"18.9630","Men's Jacket ""Zepelin""","100% 300T polyester","Lightweight padded jacket for a year-round use, tailored fit, water repellent, wind repellent, quality zip, 1 inner pocket, decoration access in lining"
"18.9631","Ladies' Jacket ""Zepelin""","100% 300T polyester","Lightweight padded jacket for a year-round use, tailored fit, water repellent, wind repellent, quality zip, 1 inner pocket, decoration access in lining"
"18.9632","Men's Bodywarmer ""Zepelin""","100% 300T polyester","Lightweight padded bodywarmer for a year-round use, tailored fit, water repellent, wind repellent, quality zip, 1 inner pocket, decoration access in lining"
"18.9633","Ladies' Bodywarmer ""Zepelin""","100% 300T polyester","Lightweight padded bodywarmer for a year-round use, tailored fit, water repellent, wind repellent, quality zip, 1 inner pocket, decoration access in lining"
"18.9644","Light Quilted Jacket","Outer fabric: 100% recycled  polyester 360T, lining: 100% recycled nylon 380T, padding: 100% polyester DuPont™","Water repellent, 2 side pockets and 1 inner pocket with zip, elastic drawstring with stoppers on the hem, decoration access at the back, matt ripstop fabric"
"18.9646","Light Hooded Quilted Jacket","Outer fabric: 100% recycled  polyester 360T, lining: 100% recycled nylon 380T, padding: 100% polyester DuPont™","Water repellent, hood, 2 side pockets and 1 inner pocket with zip, elastic drawstring with stoppers on the hem, decoration access at the back, matt ripstop fabric"
"18.9647","Lightweight Ladies' Hooded Padded Jacket","Outer fabric: 100% recycled  polyester 360T, lining: 100% recycled nylon 380T, padding: 100% polyester DuPont™","Water repellent, hood, 2 side pockets and 1 inner pocket with zip, elastic drawstring with stoppers on the hem, decoration access at the back, matt ripstop fabric"
"18.9648","Lite Bodywarmer","Outer fabric: 100% recycled  polyester 360T, lining: 100% recycled nylon 380T, padding: 100% polyester DuPont™","Water repellent, 2 side pockets and 1 inner pocket with zip, elastic drawstring with stoppers on the hem, decoration access at the back, matt ripstop fabric"
"18.9650","Men's Competition Jacket","88% polyester, 12% spandex, 310T polyester lining, DuPont™ padding","2-layer functional fabric, water repellent (8,000mm water column), breathable (3,000g/m² in 24h), hood, elastic hem and banding at armhole, chin guard, inner pocket with zip, 2 side pockets with zip, decoration access at the back"
"18.9651","Ladies' Competition Jacket","88% polyester, 12% spandex, 310T polyester lining, DuPont™ padding","2-layer functional fabric, water repellent (8,000mm water column), breathable (3,000g/m² in 24h), hood, elastic hem and banding at armhole, chin guard, inner pocket with zip, 2 side pockets with zip, decoration access at the back"
"18.9660","Men's Quilted Jacket ""Richmond""","100% 310T nylon, 100% polyester padding","Classic, slightly tailored cut, corduroy lined stand-up collar, edged cuffs and hem, cord trim on elbows, 2 side pockets with press stud, decoration access, brass zip"
"18.9661","Ladies' Quilted Jacket ""Richmond""","100% 310T nylon, 100% polyester padding","Classic, slightly tailored cut, corduroy lined stand-up collar, edged cuffs and hem, cord trim on elbows, 2 side pockets with press stud, decoration access, brass zip"
"18.9670","Men's ""Urban City"" Jacket","100% polyester soft twill, DuPont™ padding","Water repellent, breathable (3,000g/m² in 24h), inside detachable collar, shaped sleeves with adjustable cuffs, inside width adjustment at waist, 2 side pockets with flap and press stud, 2 breast pockets with flap and black metal snap buttons, inner pocket, decoration access at the back"
"18.ZD01","Clothes Rack","Stained oak veneer, black metal","Incl. a mannequin (mens M), size: 230x120x60cm, delivery time approx. 5-10 days, excluded from exchange and return, no stock item, detailed inventory and delivery date information is provided after ordering"
"18.ZD03","Clothes Rack","Ash and black metal","65cm rack, space for 7-10 pcs of hangers, size: 90x60x150cm, delivery time approx. 5-10 days, excluded from exchange and return, no stock item, detailed inventory and delivery date information is provided after ordering"
"18.ZD04","Clothes Rack","Ash and black metal","130cm rack, space for 18-20 pcs of hangers, size: 155x60x150cm, delivery time approx. 5-10 days, excluded from exchange and return, no stock item, detailed inventory and delivery date information is provided after ordering"
"18.ZF01","Colour Card 2023",NA,"4-page folder, real fabric patterns, excluded from exchange and return"
"18.ZK01","Main Catalogue Tee Jays 2023","260 pages","Total collection of Tee Jays"
"18.ZK03","Fall/Winter catalogue",NA,NA
"18.ZS01","Clothes Hanger","Oak wood","With black Tee Jays logo, delivery time approx. 5-10 days, excluded from exchange and return, no stock item, detailed inventory and delivery date information is provided after ordering"
"19.0147","Organic Backpack","100% organic cotton","White cord, capacity: 8l, size: 30x36cm"
"19.0304","Universal Shoulder Bag","600D polyester","Adjustable shoulder strap, front compartment with zipper, size: 31x22x1cm"
"19.0403","Document Bag with Shoulder Strap","600D polyester with PVC backing","Adjustable shoulder strap, inner pocket, pens pocket, front flap with zip pocket and plastic buckle, size: 37x33x9cm"
"19.0507","Cargo Organiser","PP, 600D polyester","2 large fold out compartments, insert pocket outside, metal eyelets, embroidery area: 15x10cm, size: 35x30x60cm"
"19.0508","Cargo Organiser with Flap","PP, 600D polyester","Fold out organizer with top zip flap, 1 outer compartment, large main compartment, mesh lining inside, embroidery area: 15x10cm, foldable, size: 33x30x30cm"
"19.0609","Sailor Bag / Balloon Bag","1680D polyester","Drawstring, padded side handle, adjustable shoulder strap, waterproof zip, metal eyelets, size: 62x32cm diameter"
"19.0809","Cabin Size Trolley","Twist 600HD","Telescopic handle, 2 inner compartments, design silicon wheels, detachable front compartment perfect for embroidery, accessories REACH standard, size: 55x35x20cm"
"19.0903","Laptop Document Bag","1680D PU","Reinforced handles, concealed shoulder straps, adjustable and detachable shoulder strap, front pocket with organizer section, padded main compartment for 17"" laptop, mesh insert on the back, also portable as backpack, headphone guide, size: 40x35x18cm"
"19.2004","Storm Umbrella","210T polyester","EVA handle, fiberglas frame and stick, plastic tips, stormproof, REACH standard, manually opening, diameter 128cm"
"19.2005","Golf Umbrella","210T polyester","4cm fiberglas frame and handle, EVA handle with manual opening, safety runner, plastic tips, size: 76 cm"
"19.2006","Automatic Golf Umbrella","210T polyester","70cm fiberglas frame and handle, EVA handle with plastic button, pocket with velcro fastener, plastic golf cap, opens automatically, diameter 125cm"
"19.2007","Golf Umbrella","210T polyester","Mat polycarbonate handle, black 10mm thick metal shaft, black fiberglass frame, metal tips, replaces Kimood 2001, tarpaulin made of 210T-polyester, automatic opening, diameter 98cm"
"19.2008","Big Golf Umbrella","210T polyester","Polycarbonate handle with rubber, black 14mm thick metal shaft, black fiberglass frame, metal tips, replaces Kimood 2002, automatic opening, diameter 120cm"
"19.2010","Mini Folding Umbrella","Polyester pongee","3-part frame, safety function, carbon steel construction, cover made of 190T polyester, diameter 98cm"
"19.2011","Automatic Umbrella","Polyester pongee","Nickel tips, aluminium frame and metal shaft, opens and closes automatically, shaft with safety runner, pongee-case, diameter 96cm"
"19.2020","Umbrella with Wooden Handle","Polyester pongee","Wooden shaft, J-handle made of wood, white nickel tips, black metal frame, opens automatically, diameter 96cm"
"19.2021","Automatic Umbrella","210T polyester","10mm thick metal shaft in black, J-handle made of plastic, nickel tips, opens automatically, diameter 105cm"
"19.2023","Square Umbrella","210T polyester","Fiberglas frame and stick, rubber handle, plastic tips, manually opening, size: 96x84cm"
"19.3208","Large Shopping Bag","310g/m², 100% cotton","Inner pocket, special treatment for a ""washed out"" look - this process results in color variations, back size can be reduced with snaps, size: 64x37x17cm"
"19.5220","Shopping Bag ""K-loop""","180g/m², 70% recycled cotton, 30% recycled polyester","QR code in the label for tracking the supply chain, handle length: 70cm, self fabric handle wrap, made from production waste and recycled PET bottles, entire production process traceable through AWARE™ tracer, size: 38x42cm, 40° washable"
"19.5224","Shopper from plant fibers","100% polyester, lining: 100% recycled polyester","Carrying handles made of thick rope, small pocket inside, main compartment with zip, large label for decoration, size: 48/28x33x14cm"
"19.5225","Straw Shopper","100% straw","Classic woven straw shopping basket, large label for decoration, size: 56/32x29x16cm"
"19.5226","Shopper from plant fibers","100% polyester, lining: 100% recycled polyester","Carrying handles made of thick rope, small pocket inside, main compartment with zip, large label for decoration, size: 52/28x33x13cm"
"20.0431","Sherpa Fleece Blanket","100% polyester","One side fluffy sherpa, one side velvety fleece, size: 130x160cm"
"20.0802","Polyester Belt","100% polyester","Metal buckle tone-in-tone, total length: 129cm, adjustable in length, width: 3.5cm"
"20.0807","Classic Leather Belt","100% italian full grain leather","Belt made in Italy, total length: 125cm, can be adjusted to fit sizes XS-XXL by trimming the length as the buckle is detachable, width: 3cm, supplied in a cotton bag"
"20.0808","Classic Leather Belt","100% italian leather","Belt made in Italy, total length: 125cm, can be adjusted to fit sizes XS-XXL by trimming the length as the buckle is detachable, width: 3.5cm, supplied in a cotton bag"
"20.1002","Men's Pants","155g/m², 95% polyester, 5% elastane","Water repellent, elastic hem on the sides with belt loops, knee inserts 100% polyester jacquard, contrasting zip with 1 button-hook, 2 front pockets with zip in contrasting color and 1 back pocket in contrasting color with zip, antistatic"
"20.1003","Ladies' Pants","155g/m², 95% polyester, 5% elastane","Water repellent, elastic hem on the sides with belt loops, knee inserts 100% polyester jacquard, contrasting zip with 1 button-hook, 2 front pockets with zip in contrasting color and 1 back pocket in contrasting color with zip, antistatic"
"20.1008","Men's Performance Trousers","310g/m², 79% polyester, 15% viscose, 6% elastane","Slim fit, elastic hem with 2-colored drawstring, slim leg ends with elastic insert in contrasting color, knee inserts, 1 back zip pocket with fused seams, 2 front pockets with jersey lining in 65% polyester, 35% cotton"
"20.1009","Ladies' Performance Trousers","310g/m², 79% polyester, 15% viscose, 6% elastane","Slim fit, elastic hem with 2-colored drawstring, slim leg ends with elastic insert in contrasting color, knee inserts, 1 back zip pocket with fused seams, 2 front pockets with jersey lining in 65% polyester, 35% cotton"
"20.1015","Ladies' Leggings","220g/m², 81% recycled polyester, 19% elastane","Tone-on-tone printing samples, elastic wide cuffs, small key pocket at the front of the waistband, TearAway label"
"20.1021","Ladies' Sports Pants","210g/m², 100% cotton, grey heather: 65% cotton, 35% viscose","Elastic waistband, contrasting tape and drawstring"
"20.2115","Men's Vintage T-Shirt","200g/m², 100% cotton","Necktape, double seams on sleeves and cuffs, special treatment for a ""washed out"" look - this process results in color variations, neutral size label"
"20.2306","Men's Vintage Hooded Sweat Jacket","350g/m², 80% cotton, 20% polyester, ash heather: 79% cotton, 20% polyester, 1% viscose, soft-touch","Lined hood, contrasting cord, double herringbone necktape, knitted cuffs on sleeves and hem, metal zip, kangaroo pockets, special treatment for a ""washed out"" look - this process results in color variations, neutral size label"
"20.2307","Ladies' Vintage Hooded Sweat Jacket","350g/m², 80% cotton, 20% polyester, ash heather: 79% cotton, 20% polyester, 1% viscose, soft-touch","Lined hood, contrasting cord, double herringbone necktape, knitted cuffs on sleeves and hem, metal zip, kangaroo pockets, special treatment for a ""washed out"" look - this process results in color variations, neutral size label"
"20.2315","Men's Hooded Sweatshirt","300g/m², 100% cotton, French Terry (not roughened inside)","Lined crossover front hood, side knitted cuffs, knit on the hood, sleeves and cuffs, kangaroo pocket, special treatment for a ""washed out"" look - this process results in color variations, neutral size label"
"20.3000","Men's T-Shirt Supima®","160g/m², 100% Supima® cotton","Tailored fit, round neckline with tone-in-tone necktape, decorative stitching on sleeves and cuffs, neutral size label"
"20.3001","Ladies' T-Shirt Supima®","160g/m², 100% Supima® cotton","Tailored fit, round neckline with tone-in-tone necktape, decorative stitching on sleeves and cuffs, neutral size label"
"20.3008","Oversize T-Shirt","220g/m², 100% cotton, single jersey, oxford grey: 90% cotton, 10% viscose","Generous cut, round neckline with 1x1 rib knit, necktape tone-in-tone, dropped shoulder, shoulders backed with silicone, TearAway label, neutral size label, 40° washable"
"20.3012","Men's Stretch T-Shirt","160g/m², 97% cotton, 3% elastane, light grey heather: 87% cotton, 9% viscose, 4% elastane","Tailored fit, round neckline, double seams on sleeves and cuffs"
"20.3013","Ladies' Stretch T-Shirt","160g/m², 97% cotton, 3% elastane, light grey heather: 87% cotton, 9% viscose, 4% elastane","Tailored fit, round neckline, double seams on sleeves and cuffs"
"20.3014","Men's V-Neck Stretch T-Shirt","160g/m², 97% cotton, 3% elastane, light grey heather: 87% cotton, 9% viscose, 4% elastane","Tailored fit, narrow edged V-neck, double seams on cuffs and hem"
"20.3015","Ladies' V-Neck Stretch T-Shirt","160g/m², 97% cotton, 3% elastane, light grey heather: 87% cotton, 9% viscose, 4% elastane","Tailored fit, narrow edged V-neck, double seams on cuffs and hem"
"20.3036","T-Shirt ""Made in Portugal""","145g/m², 100% combed cotton, single jersey","Made in Portugal, slim fit, round neckline, necktape tone-in-tone, shoulders backed with silicone, double seams on sleeves and cuffs, TearAway label, neutral size label, 40° washable"
"20.3043","Ladies' Tank Top with Lace","260g/m², 100% polyamide (58% recycled)","Close fit, neckline with lace details, hem with invisible seam, seamless, back neckline, TearAway label"
"20.3044","Men's T-Shirt","165g/m², 100% polyamide (60% recycled), jersey","Close fit, hem and cuffs with invisible seam, seamless, TearAway label"
"20.4003","Unisex College Jacket ""Teddy""","320g/m², 70% cotton, 30% polyester","3-part hood with jersey lining, drawcord in contrasting color, twill necktape, press studs fastening, 2 side pockets with piping in contrasting color, rib knit collar, sleeves and cuffs with contrasting stripes, hanging loop, neutral size label"
"20.4009","Ladies' Sport Tank Top","135g/m², 65% polyester, 35% viscose","Casual cut, necktape, deep armholes, lightly rounded hem, racerback, slub thread effect"
"20.4012","Men's Sport Shirt","130g/m², 100% recycled polyester, bird eye fabric","Straight cut, round neckline, necktape in contrasting color, raglan sleeves, double seams on round neckline, sleeves and waistband, quick drying, TearAway label"
"20.4013","Ladies' Sport Shirt","130g/m², 100% recycled polyester, bird eye fabric","Straight cut, round neckline, necktape in contrasting color, raglan sleeves, double seams on round neckline, sleeves and waistband, quick drying, TearAway label"
"20.4017","Sport Shirt long-sleeve","160g/m², 88% recycled polyester, 12% elastane","Close fit, high collar, raglan sleeves with contrasting seams, elastic buckle in the front hem through which the cord of a short can be puller for stabilization, UV protection 50+"
"20.4018","Oversize Hooded Sweat","280g/m², 80% cotton, 20% polyester","Generous cut, twill necktape, halfmoon in neck, dropped shoulder, cuffs and hem with elastane, hidden pocket with zipper in the right side seam, double seams on sleeves and cuffs, roughened inside, TearAway label, neutral size label, 40° washable"
"20.6104","Watterproof Jacket","100% polyamide, lining: 100% polyester","Waterproof (3,000mm water column), breathable (5,000g/m² in 24h), adjustable hood with mesh lining, 2 front pockets with zip, 1 inner pocket, welded seams, decoration access on the hip and chest"
"20.6108","Ladies' Parka","450g/m², 100% Oxford polyester, padding: polyester quilted lining","Stand-up collar with fleece lining, detachable hood, zip with wind flap and concealed press studs, 2 outside pockets with zip, 1 inner pocket with zip, decoration access in lining"
"20.6110","Lightweight Men's Hooded Padded Jacket","340g/m², outside: 100% polyamide, lining: 100% polyester","Collar with hood, lining and hood inside in contrasting color (except navy), 2 side pockets with zip, side panels with vertical quilting, folds up into storage bag"
"20.6111","Lightweight Ladies' Hooded Padded Jacket","340g/m², outside: 100% polyamide, lining: 100% polyester","Tailored fit, collar with hood, lining and hood inside in contrasting color (except navy), 2 side pockets with zip, side panels with vertical quilting, folds up into storage bag"
"20.6113","Lightweight Men's Bodywarmer","Outside: 100% polyamide, marl silver, marl dark grey: 70% polyamide, 30% polyester, lining: 100% polyamide","Stand-up collar with chin guard, elastic cuffs on sleeves and borders, 2 side pockets with zip, side panels with vertical quilting, contrasting inner side, easy-care fabric, light and warm, durable, smooth fabric, folds up into storage bag"
"20.6114","Lightweight Ladies' Bodywarmer","Outside: 100% polyamide, marl silver, marl dark grey: 70% polyamide, 30% polyester, lining: 100% polyamide","Stand-up collar with chin guard, elastic cuffs on sleeves and borders, 2 side pockets with zip, side panels with vertical quilting, contrasting inner side, easy-care fabric, light and warm, durable, smooth fabric, folds up into storage bag"
"20.6118","Bodywarmer","Outside: 100% ripstop polyester with AC coating, padding: 100% polyester, lining: 100% polyester fleece","Stand-up collar, 1 inner pocket with velcro fastener, 2 side pockets with zip, decoration access on the back and chest"
"20.6120","Lightweight Men's Padded Jacket","Outside: 100% polyamide, marl silver, marl dark grey: 70% polyamide, 30% polyester, lining: 100% polyamide","Stand-up collar with chin guard, elastic cuffs on sleeves and borders, 2 side pockets with zip, side panels with vertical quilting, contrasting inner side, easy-care fabric, light and warm, durable, smooth fabric, folds up into storage bag"
"20.6121","Lightweight Ladies' Padded Jacket","Outside: 100% polyamide, marl silver, marl dark grey: 70% polyamide, 30% polyester, lining: 100% polyamide","Stand-up collar with chin guard, elastic cuffs on sleeves and borders, 2 side pockets with zip, side panels with vertical quilting, contrasting inner side, easy-care fabric, light and warm, durable, smooth fabric, folds up into storage bag"
"20.6130","Men's Suit Jacket","200g/m², 100% polyester Taffeta®lining, 64% polyester, 34% viscose, 2% elastane","Jacket with 2 buttons, 4-button cuff, 2 inside pockets with button, 2 side pockets with pipings and flap, 1 mobile phone pocket, 1 chest pocket, 2 slits on the back, decoration access on the left side, dry cleaning"
"20.6131","Ladies' Suit Jacket","200g/m², 100% polyester Taffeta®lining, 64% polyester, 34% viscose, 2% elastane","3-button cuff, 2 front pockets with piping, 2 inside pockets with button, 1 slit on the back, french sizes: please have a look at our size table, dry cleaning"
"20.6132","Men's Blazer","250g/m², night navy heather: 80% polyester, 18% cotton, 2% elastane, light grey heather: 74% polyester, 24% viscose, 2% elastane, lining: 100% polycotton, sleeve lining: 100% polyester Taffeta®","Cuffs with 4 buttons including one with a contrasting buttonhole, with 2 buttons, 2 inside pockets with button, 2 side pockets with pipings and flap, 1 mobile phone pocket, 1 chest pocket, 2 slits on the back, contrasting inner side, decoration access on the left side, dry cleaning"
"20.6133","Ladies' Blazer","250g/m², night navy heather: 80% polyester, 17% cotton, 3% elastane, light grey heather: 72% polyester, 25% viscose, 3% elastane, lining: 100% polycotton, sleeve lining: 100% polyester Taffeta®","Cuffs with 3 buttons including one with a contrasting buttonhole, with 1 button, 2 front pockets with piping, 1 inner pocket with button, 1 slit on the back, contrasting inner side, dry cleaning"
"20.6140","Men's Coat ""Premium""","79% polyester, 18% viscose, 3% elastane, 100% polyester Taffeta®lining","Wool optics, cuffs with 4 buttons, 6 button fastening, 2 side pockets with piping and flap, 1 inner pocket with press stud, 2 open breast pockets with press stud, 1 inner pocket with zip, slit on the back"
"20.6141","Ladies' Coat ""Premium""","79% polyester, 18% viscose, 3% elastane, 100% polyester Taffeta®lining","Wool optics, high stand-up collar, 2x4-buttons closure, 2 side pockets with flap, 1 inner pocket with piping"
"20.6153","Unisex Hooded Windbreaker","200g/m², 100% polyamide 210T acrylic coated, lining: 100% polyester microfleece, sleeve lining: polyester padding","Slim fit, 3-layer hood with drawstring, adjustable cuffs with press studs, 2 side pockets and 1 inner pocket with zip, half-moon trimming, decoration access at the hem, hanging loop, TearAway label"
"20.7020","Organic Sweat Skirt","280g/m², 85% combed certified organic cotton, 15% recycled polyester, enzyme washed","Elastic hem with drawstring, 2 side pockets, LSF (low shrinkage fleece) for less shrinkage, roughened inside, TearAway label, neutral size label"
"20.795X","Workwear Multipocket Pants","255g/m², 65% polyester, 35% cotton","Reinforced triple seam in the crotch, zip at the front with button, several tool pockets, 2 back pockets, 1 side pocket, french sizes: please have a look at our size table, sizes 38-54 art.no. 20.W795"
"20.K013","Unisex Hooded Sweatshirt","280g/m², 80% combed cotton, 20% polyester, hood: cotton jersey","Slim fit, lined hood in contrasting color with cord, halfmoon in neck, ribbed cuffs on sleeves and hem, kangaroo pockets, 3-thread brushed fleece, TearAway label"
"20.K014","Kids' Hooded Sweater","280g/m², 80% combed cotton, 20% polyester, hood: cotton jersey","Slim fit, lined hood in contrasting color with cord, halfmoon in neck, ribbed cuffs on sleeves and hem, kangaroo pockets, 3-thread brushed fleece, TearAway label"
"20.K118","Velour Beach Towel","400g/m², 100% cotton","Terry back, with white border on both sides, soft velor, size: 100x160cm"
"20.K124","Baby Bath Towel","100% cotton, terry","With hood, contrasting binding, size: 77x77cm"
"20.K128","Fouta Beach Towel","340g/m², 100% cotton","Webstrips, fringe, 1 side terry, 1 side smooth, size: 180x100cm"
"20.K209","Men's Organic Piqué Polo","220g/m², 100% certified organic cotton, heather colors: 80% certified organic cotton, 20% polyester, grey heather: 70% certified organic cotton, 30% viscose","Collar and cuffs in rib knit, 3 button-placket with tone-in-tone buttons, necktape, reinforced side slits, neutral size label"
"20.K210","Ladies' Organic Piqué Polo","220g/m², 100% certified organic cotton, heather colors: 80% certified organic cotton, 20% polyester, grey heather: 70% certified organic cotton, 30% viscose","Collar and cuffs in rib knit, 4 button-placket with tone-in-tone buttons, necktape, reinforced side slits, neutral size label"
"20.K223","Men's Polo with Mao Collar","220g/m², 100% combed cotton, oxford grey: 90% combed cotton, 10% viscose","Mao collar with knitted cuffs and piping in contrasting color, 3 button-placket with buttons in contrasting color, knitted cuffs on sleeves, double seams on hem, 60° washable (oxford grey: 40°)"
"20.K226","Baseball Piqué Polo","200g/m², 100% cotton, piqué","Rib knit collar, 2 button-placket tone-in-tone, necktape, contrasting raglan sleeves and piping, double seams on sleeves and hem"
"20.K232","2-colored Piqué Polo ""Flag""","220g/m², 65% polyester, 35% cotton, piqué","Rib knit collar, 3 button-placket tone-in-tone, contrasting inserts on the side and under the sleeves, side slits"
"20.K237","Men's Jersey Polo ""Ray""","210g/m², 100% cotton","2-colored striped polo, smooth collar, 3 button-placket, rib knit on the sleeves, side slits with decorative tape and double stitching"
"20.K239","Men's Stretch Piqué Polo","220g/m², 95% cotton, 5% elastane","Rib knit collar with necktape, 3 button-placket, rib knit on cuffs, side slits and double stitching"
"20.K240","Ladies' Stretch Piqué Polo ""Brooke""","220g/m², 95% cotton, 5% elastane","Tailored fit, rib knit collar with necktape, 2 button-placket, rib knit on cuffs, side slits and double stitching"
"20.K241","Men's Piqué Polo","220g/m², 100% combed cotton, oxford grey: 90% cotton, 10% viscose","Rib knit collar, 3 button-placket, double seams, taped neck in contrasting color in the collar and on the side slits, 60° washable (oxford grey: 40°)"
"20.K242","Ladies' Piqué Polo","220g/m², 100% combed cotton, oxford grey: 90% cotton, 10% viscose","Lightly tailored fit, rib knit collar, 2 button-placket, double seams, taped neck in contrasting color in the collar and on the side slits, 60° washable (oxford grey: 40°)"
"20.K243","Men's Piqué Polo long-sleeve","220g/m², 100% combed cotton, oxford grey: 90% combed cotton, 10% viscose","Rib knit collar, 3 button-placket, ribbed cuffs reinforced with elastane, double seams, taped neck in contrasting color in the collar and on the side slits, 60° washable (oxford grey: 40°)"
"20.K244","Ladies' Piqué Polo long-sleeve","220g/m², 100% combed cotton, oxford grey: 90% combed cotton, 10% viscose","Tailored fit, rib knit collar, 2 button-placket, double seams, taped neck in contrasting color in the collar and on the side slits, 60° washable (oxford grey: 40°)"
"20.K245","Men's Contrast Piqué Polo","220g/m², 100% cotton","Flat knit rib with contrast tipping and contrast under collar (no contrast on white), 2 button-placket with 3 colored detail inside, necktape in contrasting color, reinforced side slits with contrasting band, rib knit collar and cuffs with contrasting stripes"
"20.K252","Ladies' Contrast Piqué Polo","220g/m², 100% cotton","Tailored fit, flat knit rib with contrast tipping and contrast under collar (no contrast on white), deep button-placket with 5 buttons with contrasting band and decorative stitching inside, necktape in contrasting color, reinforced side slits with contrasting band, longer cut back, rib knit collar and cuffs with contrasting stripes"
"20.K262","Men's Jersey Polo","180g/m², 100% combed cotton, french navy heather: 80% cotton, 20% polyester, grey heather: 65% polyester, 35% cotton, oxford grey: 90% cotton, 10% viscose","3 button-placket with metal buttons, back yoke, knitted cuffs on sleeves, double seams on hem"
"20.K263","Ladies' Jersey Polo","180g/m², 100% combed cotton, grey heather/french navy heather: 60% cotton, 40% polyester","Tailored fit, 4 button-placket with metal buttons, back yoke, knitted cuffs on sleeves, double seams on hem"
"20.K330","Baseball T-Shirt","165g/m², 100% cotton","Collar with Lycra®, necktape, raglan sleeves in contrasting color, double stitching on sleeves, neck and hem, side slits"
"20.K340","2-colored T-Shirt ""Tiger""","165g/m², 100% cotton","Round neckline and cuffs, double seams on sleeves and hem, contrasting side stripes"
"20.K356","Men's T-Shirt","180g/m², 100% combed cotton, enzyme washed, single jersey, oxford grey: 90% cotton, 10% viscose","Tailored fit, edged neckline, necktape in contrasting color on colors shirts and white on white shirts, double seams"
"20.K357","Men's V-Neck T-Shirt","180g/m², 100% combed cotton, enzyme washed, single jersey, oxford grey: 90% cotton, 10% viscose","Smooth edged V-neck, necktape in contrasting color on colors shirts and white on white shirts, double seams"
"20.K358","Men's V-Neck T-Shirt long-sleeve","180g/m², 100% combed cotton, enzyme washed, single jersey, oxford grey: 90% combed cotton, 10% viscose","Tailored fit, smooth edged V-neck, necktape in contrasting color (grey) on colors shirts and white on white shirts, double seams"
"20.K359","Men's T-Shirt long-sleeve","180g/m², 100% combed cotton, enzyme washed, single jersey, oxford grey: 90% combed cotton, 10% viscose","Tailored fit, narrow edged neckline, grey necktape on colors, white necktape on white, double seams"
"20.K361","Ladies' Tank Top","160g/m², 95% cotton, 5% elastane","Tailored fit, necktape, slim hem on sleeves and round neck, double seams on hem, stretchy fabric"
"20.K374","Men's Piqué V-Neck T-Shirt","170g/m², 100% combed cotton piqué, oxford grey: 90% cotton, 10% viscose","Necktape and side slits in contrasting color, double seams on hem, rib knit collar and cuffs with contrasting stripes"
"20.K380","Ladies' T-Shirt","180g/m², 100% combed cotton, enzyme washed, oxford grey: 90% cotton, 10% viscose","Tailored fit, narrow edged neckline, necktape in contrasting color on colors shirts and white on white shirts, double seams"
"20.K381","Ladies' V-Neck T-Shirt","180g/m², 100% combed cotton, enzyme washed, oxford grey: 90% combed cotton, 10% viscose","Tailored fit, narrow edged deep V-neck, necktape in contrasting color on colors shirts and white on white shirts, double seams"
"20.K382","Ladies' V-Neck T-Shirt long-sleeve","180g/m², 100% combed cotton, enzyme washed, oxford grey: 90% combed cotton, 10% viscose","Tailored fit, narrow edged V-neck, necktape in contrasting color (grey) on colors shirts and white on white shirts, double seams"
"20.K383","Ladies' T-Shirt long-sleeve","180g/m², 100% combed cotton, enzyme washed, oxford grey: 90% combed cotton, 10% viscose","Tailored fit, narrow edged neckline, grey necktape on colors, white necktape on white, double seams"
"20.K384","Ladies' T-Shirt","180g/m², 100% combed cotton, enzyme washed","Tailored fit, wide boat neck collar, necktape in contrasting color"
"20.K394","Ladies' Piqué V-Neck T-Shirt","170g/m², 100% combed cotton piqué, oxford grey: 90% cotton, 10% viscose","Necktape and side slits in contrasting color, double seams on hem, rib knit collar and cuffs with contrasting stripes"
"20.K399","Ladies' Organic T-Shirt","110g/m², 100% certified organic cotton","Seamless round neckline, double seams on cuffs and hem, neutral size label"
"20.K400","Ladies' 3-Layer Softshell Jacket","outside: 300g/m², 95% polyester, 5% elastane, middle layer: breathable material, inside: micro fleece","3-layer fabric, waterproof (8,000mm water column), breathable (3,000g/m² in 24h), full-length zip, 1 left sleeve pocket with zip, 2 front pockets with zip"
"20.K401","Men's 3-Layer Softshell Jacket","outside: 300g/m², 95% polyester, 5% elastane, middle layer: breathable material, inside: micro fleece","3-layer fabric, waterproof (8,000mm water column), breathable (3,000g/m² in 24h), full-length zip, 1 left sleeve pocket with zip, 2 front pockets with zip"
"20.K402","Kids' 3-Layer Softshell Jacket","300g/m², outside: 95% polyester, 5% elastane, middle layer: breathable material, inside: micro fleece","3-layer fabric, waterproof (8,000mm water column), breathable (3,000g/m² in 24h), full-length zip, 1 left sleeve pocket with zip, 2 front pockets with zip"
"20.K403","Men's 3-Layer Softshell Vest","300g/m², outside: 95% polyester, 5% elastane, middle layer: breathable material, inside: micro fleece","3-layer fabric, waterproof (8,000mm water column), breathable (3,000g/m² in 24h), full-length zip, 2 front pockets with zip, 1 right breast pocket with zip"
